session,time
Benchmarks,13719.5226349998
CCL,12069.6668149997
CTT,11814.2761520017
Cube,11790.8921700008
Doc,17104.6992299985
FOL,11932.5574270003
FOLP,12076.7671440002
HOL,24025.0023729987
LCF,11764.578272
Pure,11753.9355939999
Sequents,11633.1978699993
Tools,11671.9710410014
ZF,12171.8200579993
Isabelle,25997.1951809991
Old,16613.6620933333
