filename,size,total,average,median
/mnt/d/linux/isabelle/src/HOL/Nonstandard_Analysis/Nonstandard_Analysis.thy,304,9.99477306008339,0.009984788271812,0.009200997650623
/mnt/d/linux/isabelle/src/HOL/SPARK/Manual/Proc1.thy,306,10.2934679500759,0.010283184765311,0.009580001235008
/mnt/d/linux/isabelle/src/HOL/Auth/Smartcard/Auth_Smartcard.thy,306,10.3182689771056,0.01030796101609,0.009610999375582
/mnt/d/linux/isabelle/src/Tools/Spec_Check/Spec_Check.thy,306,11.6829000115395,0.011671228782757,0.010634999722242
/mnt/d/linux/isabelle/src/HOL/SET_Protocol/SET_Protocol.thy,311,9.90974399447441,0.009899844150324,0.009095996618271
/mnt/d/linux/isabelle/src/HOL/HOLCF/IOA/ABP/Packet.thy,318,10.2630019411445,0.010252749191953,0.009397000074387
/mnt/d/linux/isabelle/src/HOL/Library/Quotient_Syntax.thy,318,10.1451239958406,0.010134989006834,0.009391997009516
/mnt/d/linux/isabelle/src/HOL/HOLCF/IOA/Storage/Action.thy,327,23.4046340249479,0.023381252772176,0.022497996687889
/mnt/d/linux/isabelle/src/HOL/Nonstandard_Analysis/Hyperreal.thy,331,10.8638189733028,0.010852966007296,0.009985998272896
/mnt/d/linux/isabelle/src/HOL/Auth/Auth_Public.thy,335,13.532235968858,0.013518717251606,0.012383997440338
/mnt/d/linux/isabelle/src/HOL/Computational_Algebra/Computational_Algebra.thy,341,10.923810955137,0.01091289805708,0.010088000446558
/mnt/d/linux/isabelle/src/HOL/Cardinals/Cardinals.thy,345,23.434225987643,0.023410815172471,0.021784998476505
/mnt/d/linux/isabelle/src/HOL/Probability/Probability.thy,355,17.6959959939122,0.017678317676236,0.015491999685764
/mnt/d/linux/isabelle/src/Doc/Prog_Prove/MyList.thy,355,11.522001940757,0.011510491449308,0.010736998170614
/mnt/d/linux/isabelle/src/HOL/IMP/Com.thy,359,12.4974090121686,0.012484924088081,0.011730998754501
/mnt/d/linux/isabelle/src/HOL/Library/Predicate_Compile_Quickcheck.thy,365,12.4530608765781,0.012440620256322,0.011844001710415
/mnt/d/linux/isabelle/src/HOL/Mirabelle/ex/Ex.thy,372,12.9062669500709,0.012893373576494,0.012366000562906
/mnt/d/linux/isabelle/src/HOL/Library/Realizers.thy,375,12.9768059588969,0.01296384211678,0.012260999530554
/mnt/d/linux/isabelle/src/HOL/Quickcheck_Examples/Quickcheck_Nesting.thy,376,14.6273460872471,0.014612733353893,0.013892002403736
/mnt/d/linux/isabelle/src/HOL/Nitpick_Examples/Nitpick_Examples.thy,378,12.8108609877527,0.012798062924828,0.01146100088954
/mnt/d/linux/isabelle/src/HOL/Codegenerator_Test/Code_Test_MLton.thy,391,13.2283899225295,0.013215174747782,0.012657999992371
/mnt/d/linux/isabelle/src/HOL/Codegenerator_Test/Code_Test_SMLNJ.thy,391,13.3027799837291,0.013289490493236,0.012690998613834
/mnt/d/linux/isabelle/src/HOL/HOLCF/IOA/NTP/Action.thy,395,13.9009550139308,0.013887067945985,0.013016000390053
/mnt/d/linux/isabelle/src/Doc/Tutorial/Misc/Plus.thy,395,14.2841249294579,0.014269855074384,0.013593997806311
/mnt/d/linux/isabelle/src/HOL/Codegenerator_Test/Code_Test_PolyML.thy,397,13.7826129980385,0.013768844153885,0.012945000082255
/mnt/d/linux/isabelle/src/HOL/Library/Adhoc_Overloading.thy,399,14.0561110861599,0.014042069017143,0.013183999806643
/mnt/d/linux/isabelle/src/HOL/Codegenerator_Test/Generate.thy,399,14.0442429929972,0.014030212780217,0.013270001858473
/mnt/d/linux/isabelle/src/HOL/Library/BNF_Axiomatization.thy,400,13.4321860335767,0.013418767266311,0.01257099956274
/mnt/d/linux/isabelle/src/LCF/ex/Ex3.thy,408,15.4027809649706,0.015387393571399,0.014649000018835
/mnt/d/linux/isabelle/src/HOL/Mirabelle/Mirabelle.thy,423,14.3234580457211,0.014309148896824,0.013450000435114
/mnt/d/linux/isabelle/src/HOL/TPTP/TPTP_Interpret.thy,436,14.7007539719343,0.01468606790403,0.014155998826027
/mnt/d/linux/isabelle/src/HOL/Codegenerator_Test/Generate_Binary_Nat.thy,442,15.2254009917378,0.015210190800937,0.014561999589205
/mnt/d/linux/isabelle/src/HOL/Codegenerator_Test/Generate_Target_Nat.thy,446,15.2493621110916,0.015234127983109,0.014683999121189
/mnt/d/linux/isabelle/src/LCF/ex/Ex4.thy,451,16.7523379772902,0.016735602374915,0.015925999730826
/mnt/d/linux/isabelle/src/HOL/Matrix_LP/Compute_Oracle/Compute_Oracle.thy,457,15.2817650772631,0.015266498578685,0.014024000614882
/mnt/d/linux/isabelle/src/Pure/Sessions.thy,475,15.1937150396407,0.015178536503138,0.014176998287439
/mnt/d/linux/isabelle/src/HOL/Nominal/Examples/Lambda_mu.thy,475,18.7829899862409,0.01876422576048,0.01799800246954
/mnt/d/linux/isabelle/src/HOL/Types_To_Sets/Examples/Unoverload_Def.thy,476,15.9124650508165,0.015896568482334,0.01511899754405
